evol_id,esta_id_estacion,esta_code_estacion,evol_fecha,evol_fk_canal,evol_fecha_evento,evol_fecha_evento_p,evol_fecha_evento_s,evol_s_p,tevo_id_tipo,evol_coda,evol_amplitude_max,evol_amplitude_min,evol_unidad_amplitude,evol_rms,evol_polaridad,evol_peso,evol_frecuencia,evol_fk_estacion_canal,volc_id_volcan,evol_dr_cm2,evol_dr_sm2,evol_magnitud,evol_energia,evol_estado
1638312,97,BREF,1/25/2018 11:18:22,BHZ,1/19/2018 23:31:49,,,0.000000000000000,2,11.000000000000000,411.543182373046875,-133.696746826171875,cuentas,0.248287260532379,N,0,6.201171875000000,,62,,,,,1
1638313,97,BREF,1/25/2018 11:18:55,BHZ,1/20/2018 4:07:21,,,0.000000000000000,2,18.000000000000000,1702.357910156250000,-1572.792358398437500,cuentas,0.074909761548042,N,0,2.246093750000000,,62,,,,,1
1638314,97,BREF,1/25/2018 11:18:58,BHZ,1/20/2018 4:07:52,,,0.000000000000000,2,16.000000000000000,1024.891235351562500,-590.614624023437500,cuentas,0.149911373853683,N,0,6.689453125000000,,62,,,,,1
1638315,97,BREF,1/25/2018 11:19:14,BHZ,1/20/2018 5:12:12,,,0.000000000000000,2,25.000000000000000,2541.277587890625000,-2013.253906250000000,cuentas,0.051140975207090,N,0,2.294921875000000,,62,,,,,1
1638316,97,BREF,1/25/2018 11:19:47,BHZ,1/20/2018 9:36:26,,,0.000000000000000,2,24.000000000000000,1843.909667968750000,-615.532287597656250,cuentas,0.081101290881634,N,0,5.004882812500000,,62,,,,,1
1638317,97,BREF,1/25/2018 11:21:03,BHZ,1/20/2018 21:45:40,,,0.000000000000000,2,31.000000000000000,4219.078125000000000,-2764.922851562500000,cuentas,3.568124294281006,N,0,8.471679687500000,,62,,,,,1
1638318,97,BREF,1/25/2018 11:22:26,BHZ,1/21/2018 3:06:46,,,0.000000000000000,2,19.000000000000000,941.278808593750000,-288.153656005859375,cuentas,0.197442740201950,N,0,2.929687500000000,,62,,,,,1
1638320,97,BREF,1/25/2018 11:27:18,BHZ,1/21/2018 10:28:37,,,0.000000000000000,1,34.000000000000000,4192.443847656250000,-3796.761962890625000,cuentas,1.193386554718018,N,0,6.298828125000000,,62,,,,,1
1638321,97,BREF,1/25/2018 11:27:36,BHZ,1/21/2018 11:09:58,,,0.000000000000000,2,19.000000000000000,1422.809570312500000,-1004.590209960937500,cuentas,0.092139065265656,N,0,2.685546875000000,,62,,,,,1
1638322,97,BREF,1/25/2018 11:29:01,BHZ,1/21/2018 17:09:42,,,0.000000000000000,2,33.000000000000000,3846.062988281250000,-3369.470703125000000,cuentas,0.192809715867043,N,0,1.757812500000000,,62,,,,,1
1638323,97,BREF,1/25/2018 11:30:09,BHZ,1/21/2018 20:18:24,,,0.000000000000000,2,14.000000000000000,2275.336425781250000,-1240.123046875000000,cuentas,0.026708548888564,N,0,6.152343750000000,,62,,,,,1
1638324,97,BREF,1/25/2018 11:30:51,BHZ,1/21/2018 21:21:29,,,0.000000000000000,2,11.000000000000000,1763.983398437500000,-1315.339477539062500,cuentas,0.356499582529068,N,0,6.738281250000000,,62,,,,,1
1638325,97,BREF,1/25/2018 11:36:26,BHZ,1/22/2018 10:19:21,,,0.000000000000000,2,18.000000000000000,1895.160522460937500,-1318.078369140625000,cuentas,0.093607015907764,N,0,3.271484375000000,,62,,,,,1
1638326,97,BREF,1/25/2018 11:37:19,BHZ,1/22/2018 10:25:22,,,0.000000000000000,2,24.000000000000000,1469.221191406250000,-1027.740478515625000,cuentas,16.925834655761719,N,0,5.249023437500000,,62,,,,,1
1638327,97,BREF,1/25/2018 11:37:32,BHZ,1/22/2018 11:42:14,,,0.000000000000000,2,10.000000000000000,761.990112304687500,-745.418518066406250,cuentas,0.260963082313538,N,0,3.759765625000000,,62,,,,,1
1638328,97,BREF,1/25/2018 11:38:13,BHZ,1/22/2018 19:18:32,,,0.000000000000000,2,12.000000000000000,2119.931396484375000,-2016.885742187500000,cuentas,0.872716963291168,N,0,6.835937500000000,,62,,,,,1
1638330,97,BREF,1/25/2018 11:38:31,BHZ,1/22/2018 21:16:35,,,0.000000000000000,2,25.000000000000000,2269.847167968750000,-1687.105346679687500,cuentas,2.200347185134888,N,0,6.347656250000000,,62,,,,,1
1638331,97,BREF,1/25/2018 11:38:49,BHZ,1/22/2018 22:07:45,,,0.000000000000000,2,27.000000000000000,1275.372436523437500,-684.643432617187500,cuentas,0.307208329439163,N,0,2.954101562500000,,62,,,,,1
1638332,97,BREF,1/25/2018 11:38:56,BHZ,1/22/2018 22:17:09,,,0.000000000000000,2,18.000000000000000,563.933532714843750,-657.358154296875000,cuentas,0.670580685138702,N,0,5.957031250000000,,62,,,,,1
1638333,97,BREF,1/25/2018 11:40:04,BHZ,1/22/2018 23:34:59,,,0.000000000000000,2,21.000000000000000,1552.156250000000000,-1811.466308593750000,cuentas,0.177680224180222,N,0,7.250976562500000,,62,,,,,1
1638334,97,BREF,1/25/2018 11:40:19,BHZ,1/23/2018 0:48:12,,,0.000000000000000,2,14.000000000000000,480.252136230468750,-88.528236389160156,cuentas,0.468453496694565,N,0,7.812500000000000,,62,,,,,1
1638335,97,BREF,1/25/2018 11:40:57,BHZ,1/23/2018 4:03:52,,,0.000000000000000,2,18.000000000000000,892.639770507812500,-478.526184082031250,cuentas,0.113632194697857,N,0,3.271484375000000,,62,,,,,1
1638336,97,BREF,1/25/2018 11:41:02,BHZ,1/23/2018 4:10:47,,,0.000000000000000,2,19.000000000000000,1934.664916992187500,-1679.500610351562500,cuentas,0.181026160717010,N,0,2.880859375000000,,62,,,,,1
1638337,97,BREF,1/25/2018 11:41:09,BHZ,1/23/2018 4:19:09,,,0.000000000000000,2,15.000000000000000,285.513793945312500,-193.995239257812500,cuentas,0.560168564319611,N,0,7.421875000000000,,62,,,,,1
1638338,97,BREF,1/25/2018 11:41:30,BHZ,1/23/2018 6:01:35,,,0.000000000000000,2,16.000000000000000,814.761291503906250,-350.808044433593750,cuentas,0.191429927945137,N,0,2.734375000000000,,62,,,,,1
1638339,97,BREF,1/25/2018 11:41:38,BHZ,1/23/2018 6:09:07,,,0.000000000000000,2,13.000000000000000,355.219696044921875,-413.092529296875000,cuentas,0.610508084297180,N,0,5.859375000000000,,62,,,,,1
1638340,97,BREF,1/25/2018 11:42:43,BHZ,1/23/2018 19:50:03,,,0.000000000000000,2,25.000000000000000,6358.365722656250000,-2350.242187500000000,cuentas,0.232877358794212,N,0,6.713867187500000,,62,,,,,1
1638341,97,BREF,1/25/2018 11:44:36,BHZ,1/23/2018 20:20:02,,,0.000000000000000,3,21.000000000000000,2740.995849609375000,-900.138183593750000,cuentas,0.089336059987545,N,0,5.322265625000000,,62,,,,,1
1638342,97,BREF,1/25/2018 11:44:54,BHZ,1/23/2018 22:14:09,,,0.000000000000000,2,12.000000000000000,1014.394104003906250,-670.568176269531250,cuentas,1.471048355102539,N,0,2.783203125000000,,62,,,,,1
1638344,97,BREF,1/25/2018 11:46:11,BHZ,1/24/2018 3:04:12,,,0.000000000000000,2,19.000000000000000,1608.391113281250000,-1077.866210937500000,cuentas,0.069203838706017,N,0,3.955078125000000,,62,,,,,1
1638346,97,BREF,1/25/2018 11:46:38,BHZ,1/24/2018 4:41:23,,,0.000000000000000,2,13.000000000000000,665.308166503906250,-724.799438476562500,cuentas,0.145104989409447,N,0,2.734375000000000,,62,,,,,1
1638347,97,BREF,1/25/2018 11:46:50,BHZ,1/24/2018 5:57:14,,,0.000000000000000,2,14.000000000000000,2192.673339843750000,-1232.133300781250000,cuentas,0.043276324868202,N,0,3.857421875000000,,62,,,,,1
1638348,97,BREF,1/25/2018 11:47:10,BHZ,1/24/2018 6:04:27,,,0.000000000000000,2,16.000000000000000,1319.560668945312500,-630.754882812500000,cuentas,0.132969453930855,N,0,3.857421875000000,,62,,,,,1
1638349,97,BREF,1/25/2018 11:47:29,BHZ,1/24/2018 9:57:59,,,0.000000000000000,2,11.000000000000000,993.706909179687500,-489.079101562500000,cuentas,0.734360218048096,N,0,6.054687500000000,,62,,,,,1
1638350,97,BREF,1/25/2018 11:47:47,BHZ,1/24/2018 12:57:41,,,0.000000000000000,2,10.000000000000000,1858.520507812500000,-872.727600097656250,cuentas,0.041179344058037,N,0,5.468750000000000,,62,,,,,1
1638370,97,BREF,1/25/2018 13:45:36,BHZ,1/18/2018 12:33:41,,,0.000000000000000,1,11.000000000000000,176.692047119140625,-78.300682067871094,cuentas,1.218662261962891,N,0,9.375000000000000,,62,,,,,1
1638563,97,BREF,1/29/2018 10:10:20,BHZ,1/24/2018 14:55:40,,,0.000000000000000,0,13.000000000000000,940.223144531250000,-649.690002441406250,cuentas,0.774291872978210,N,0,0.146484375000000,,62,,,,,1
1638564,97,BREF,1/29/2018 10:14:41,BHZ,1/25/2018 12:27:17,,,0.000000000000000,2,12.000000000000000,1231.275756835937500,-839.270202636718750,cuentas,0.130256369709969,N,0,2.587890625000000,,62,,,,,1
1638565,97,BREF,1/29/2018 10:15:46,BHZ,1/25/2018 12:50:34,,,0.000000000000000,2,12.000000000000000,1683.138793945312500,-1746.747802734375000,cuentas,0.088091030716896,N,0,2.587890625000000,,62,,,,,1
1638566,97,BREF,1/29/2018 10:17:08,BHZ,1/25/2018 16:44:13,,,0.000000000000000,0,24.000000000000000,1884.978149414062500,-625.999633789062500,cuentas,0.607416749000549,N,0,5.371093750000000,,62,,,,,1
1638567,97,BREF,1/29/2018 10:17:39,BHZ,1/25/2018 17:22:57,,,0.000000000000000,2,14.000000000000000,1887.280517578125000,-2273.968750000000000,cuentas,0.280111789703369,N,0,1.855468750000000,,62,,,,,1
1638568,97,BREF,1/29/2018 10:18:44,BHZ,1/25/2018 19:02:51,,,0.000000000000000,2,22.000000000000000,3146.158203125000000,-3247.738037109375000,cuentas,0.193132281303406,N,0,6.103515625000000,,62,,,,,1
1638569,97,BREF,1/29/2018 10:19:18,BHZ,1/25/2018 21:07:44,,,0.000000000000000,2,13.000000000000000,837.298706054687500,-401.396362304687500,cuentas,2.154561281204224,N,0,4.345703125000000,,62,,,,,1
1638570,97,BREF,1/29/2018 10:19:48,BHZ,1/26/2018 1:35:11,,,0.000000000000000,2,21.000000000000000,11787.397460937500000,-9410.903320312500000,cuentas,0.039543818682432,N,0,6.762695312500000,,62,,,,,1
